X	Targets	Model_pred
4	Glyma.01G004800	1
8	Glyma.01G007300	1
9	Glyma.01G007400	1
13	Glyma.01G009700	1
14	Glyma.01G010200	1
16	Glyma.01G010400	1
17	Glyma.01G010500	1
18	Glyma.01G015000	1
24	Glyma.01G019400	1
25	Glyma.01G019700	1
26	Glyma.01G020900	1
27	Glyma.01G022700	1
29	Glyma.01G024000	1
30	Glyma.01G024700	1
32	Glyma.01G026700	1
35	Glyma.01G032600	1
36	Glyma.01G033700	1
42	Glyma.01G036900	1
43	Glyma.01G037200	1
44	Glyma.01G038600	1
45	Glyma.01G038700	1
48	Glyma.01G040900	1
49	Glyma.01G044100	1
51	Glyma.01G045500	1
52	Glyma.01G049100	1
53	Glyma.01G053800	1
54	Glyma.01G054200	1
57	Glyma.01G057400	1
58	Glyma.01G057500	1
59	Glyma.01G058300	1
60	Glyma.01G061500	1
61	Glyma.01G061800	1
63	Glyma.01G062600	1
64	Glyma.01G063000	1
65	Glyma.01G063800	1
68	Glyma.01G071300	1
69	Glyma.01G074500	1
72	Glyma.01G076100	1
73	Glyma.01G077000	1
75	Glyma.01G078400	1
77	Glyma.01G081600	1
80	Glyma.01G084500	1
81	Glyma.01G086900	1
82	Glyma.01G087900	1
83	Glyma.01G090400	1
84	Glyma.01G091400	1
85	Glyma.01G092900	1
87	Glyma.01G096800	1
89	Glyma.01G098000	1
90	Glyma.01G102600	1
91	Glyma.01G104100	1
96	Glyma.01G107951	1
97	Glyma.01G108200	1
98	Glyma.01G108700	1
100	Glyma.01G109800	1
102	Glyma.01G112900	1
104	Glyma.01G115500	1
107	Glyma.01G119300	1
110	Glyma.01G126000	1
113	Glyma.01G127200	1
115	Glyma.01G128100	1
119	Glyma.01G134600	1
120	Glyma.01G135200	1
122	Glyma.01G137700	1
124	Glyma.01G139500	1
125	Glyma.01G139600	1
126	Glyma.01G141900	1
128	Glyma.01G144500	1
129	Glyma.01G144700	1
131	Glyma.01G146300	1
132	Glyma.01G147700	1
135	Glyma.01G153000	1
136	Glyma.01G153300	1
137	Glyma.01G154400	1
138	Glyma.01G154450	1
140	Glyma.01G155400	1
142	Glyma.01G158600	1
144	Glyma.01G163000	1
146	Glyma.01G164000	1
147	Glyma.01G164300	1
149	Glyma.01G165200	1
150	Glyma.01G165400	1
151	Glyma.01G168200	1
152	Glyma.01G169000	1
154	Glyma.01G169500	1
155	Glyma.01G170600	1
157	Glyma.01G172100	1
158	Glyma.01G172600	1
159	Glyma.01G172700	1
160	Glyma.01G172900	1
161	Glyma.01G173300	1
162	Glyma.01G173700	1
164	Glyma.01G176400	1
165	Glyma.01G176600	1
167	Glyma.01G177700	1
170	Glyma.01G180432	1
173	Glyma.01G182400	1
175	Glyma.01G185800	1
177	Glyma.01G187800	1
178	Glyma.01G188700	1
179	Glyma.01G189100	1
181	Glyma.01G190900	1
182	Glyma.01G191300	1
184	Glyma.01G193600	1
186	Glyma.01G195000	1
187	Glyma.01G195300	1
189	Glyma.01G197500	1
190	Glyma.01G197800	1
191	Glyma.01G198300	1
192	Glyma.01G199700	1
194	Glyma.01G202000	1
195	Glyma.01G202100	1
196	Glyma.01G202200	1
199	Glyma.01G205200	1
200	Glyma.01G205400	1
201	Glyma.01G206700	1
205	Glyma.01G211800	1
206	Glyma.01G211900	1
207	Glyma.01G212100	1
208	Glyma.01G215100	1
209	Glyma.01G215400	1
210	Glyma.01G217200	1
211	Glyma.01G217300	1
213	Glyma.01G217600	1
214	Glyma.01G217700	1
217	Glyma.01G219400	1
218	Glyma.01G219502	1
219	Glyma.01G220600	1
220	Glyma.01G221200	1
221	Glyma.01G221400	1
223	Glyma.01G224800	1
231	Glyma.01G229800	1
232	Glyma.01G230900	1
233	Glyma.01G231900	1
235	Glyma.01G236100	1
237	Glyma.01G236500	1
238	Glyma.01G237000	1
239	Glyma.01G238000	1
240	Glyma.01G238600	1
243	Glyma.01G239600	1
244	Glyma.01G240300	1
247	Glyma.01G242200	1
248	Glyma.01G242902	1
251	Glyma.01G245500	1
253	Glyma.02G000500	1
254	Glyma.02G000700	1
255	Glyma.02G001000	1
256	Glyma.02G001100	1
257	Glyma.02G001900	1
259	Glyma.02G002100	1
260	Glyma.02G002900	1
261	Glyma.02G004000	1
263	Glyma.02G005600	1
267	Glyma.02G008000	1
273	Glyma.02G011800	1
275	Glyma.02G012400	1
276	Glyma.02G012700	1
277	Glyma.02G013200	1
278	Glyma.02G013402	1
279	Glyma.02G013700	1
280	Glyma.02G014000	1
282	Glyma.02G015900	1
283	Glyma.02G016100	1
286	Glyma.02G017500	1
291	Glyma.02G022200	1
292	Glyma.02G022400	1
293	Glyma.02G023800	1
295	Glyma.02G024200	1
297	Glyma.02G024600	1
298	Glyma.02G024800	1
300	Glyma.02G027800	1
301	Glyma.02G028400	1
302	Glyma.02G028600	1
303	Glyma.02G028700	1
306	Glyma.02G031100	1
308	Glyma.02G034000	1
310	Glyma.02G035200	1
312	Glyma.02G036100	1
313	Glyma.02G036500	1
314	Glyma.02G038100	1
315	Glyma.02G039400	1
317	Glyma.02G042500	1
318	Glyma.02G044500	1
319	Glyma.02G047000	1
320	Glyma.02G047600	1
322	Glyma.02G048800	1
324	Glyma.02G049700	1
325	Glyma.02G049800	1
326	Glyma.02G052300	1
327	Glyma.02G053600	1
328	Glyma.02G054900	1
330	Glyma.02G055500	1
332	Glyma.02G057400	1
337	Glyma.02G060102	1
338	Glyma.02G061100	1
339	Glyma.02G063900	1
341	Glyma.02G066200	1
343	Glyma.02G069400	1
346	Glyma.02G071500	1
347	Glyma.02G072000	1
348	Glyma.02G072200	1
349	Glyma.02G072500	1
350	Glyma.02G075100	1
353	Glyma.02G081200	1
354	Glyma.02G081400	1
358	Glyma.02G088700	1
359	Glyma.02G089400	1
360	Glyma.02G089500	1
361	Glyma.02G091500	1
366	Glyma.02G095500	1
367	Glyma.02G096800	1
368	Glyma.02G097000	1
369	Glyma.02G097700	1
370	Glyma.02G099500	1
371	Glyma.02G100000	1
372	Glyma.02G100300	1
373	Glyma.02G102900	1
374	Glyma.02G103700	1
378	Glyma.02G106100	1
380	Glyma.02G107500	1
381	Glyma.02G107700	1
382	Glyma.02G110300	1
383	Glyma.02G111800	1
384	Glyma.02G114000	1
385	Glyma.02G116100	1
386	Glyma.02G116300	1
388	Glyma.02G124600	1
389	Glyma.02G124700	1
390	Glyma.02G125400	1
393	Glyma.02G128800	1
394	Glyma.02G130400	1
395	Glyma.02G131700	1
396	Glyma.02G131900	1
397	Glyma.02G132200	1
398	Glyma.02G133500	1
399	Glyma.02G133600	1
400	Glyma.02G133900	1
403	Glyma.02G134600	1
404	Glyma.02G134700	1
405	Glyma.02G135800	1
408	Glyma.02G137500	1
410	Glyma.02G141800	1
412	Glyma.02G143700	1
413	Glyma.02G146100	1
420	Glyma.02G151200	1
421	Glyma.02G152500	1
422	Glyma.02G153000	1
425	Glyma.02G156000	1
428	Glyma.02G158700	1
429	Glyma.02G160500	1
431	Glyma.02G162000	1
434	Glyma.02G167900	1
436	Glyma.02G168900	1
437	Glyma.02G170500	1
438	Glyma.02G171100	1
439	Glyma.02G172200	1
442	Glyma.02G179100	1
443	Glyma.02G181500	1
444	Glyma.02G181800	1
448	Glyma.02G184800	1
449	Glyma.02G185300	1
450	Glyma.02G187200	1
451	Glyma.02G190900	1
452	Glyma.02G193200	1
454	Glyma.02G195400	1
455	Glyma.02G195900	1
458	Glyma.02G202500	1
459	Glyma.02G203200	1
465	Glyma.02G208500	1
466	Glyma.02G209000	1
467	Glyma.02G209400	1
470	Glyma.02G211300	1
472	Glyma.02G212000	1
473	Glyma.02G213500	1
474	Glyma.02G214300	1
476	Glyma.02G217100	1
479	Glyma.02G220500	1
480	Glyma.02G222600	1
481	Glyma.02G224001	1
482	Glyma.02G227000	1
484	Glyma.02G228200	1
487	Glyma.02G230500	1
488	Glyma.02G232600	1
494	Glyma.02G239100	1
497	Glyma.02G242200	1
498	Glyma.02G242900	1
499	Glyma.02G243300	1
501	Glyma.02G244300	1
503	Glyma.02G244700	1
504	Glyma.02G245400	1
505	Glyma.02G246100	1
507	Glyma.02G247000	1
509	Glyma.02G247900	1
511	Glyma.02G248500	1
512	Glyma.02G249600	1
515	Glyma.02G251700	1
516	Glyma.02G253200	1
517	Glyma.02G254000	1
522	Glyma.02G258300	1
524	Glyma.02G260800	1
526	Glyma.02G264600	1
529	Glyma.02G269300	1
530	Glyma.02G269600	1
533	Glyma.02G273300	1
534	Glyma.02G273500	1
535	Glyma.02G274000	1
536	Glyma.02G274400	1
537	Glyma.02G277700	1
541	Glyma.02G282400	1
542	Glyma.02G282500	1
543	Glyma.02G283300	1
544	Glyma.02G283900	1
547	Glyma.02G284800	1
