,tgenes,indexarray
0,Glyma.01G004800::Gm01:449017-451017,1100
1,Glyma.01G007300::Gm01:738534-740534,600
2,Glyma.01G007300::Gm01:738534-740534,1700
3,Glyma.01G007400::Gm01:745717-747717,0
4,Glyma.01G007400::Gm01:745717-747717,1200
5,Glyma.01G007400::Gm01:745717-747717,1300
6,Glyma.01G007500::Gm01:750523-752523,1200
7,Glyma.01G007500::Gm01:750523-752523,1300
8,Glyma.01G007500::Gm01:750523-752523,1400
9,Glyma.01G007500::Gm01:750523-752523,1600
10,Glyma.01G009700::Gm01:956746-958746,1400
11,Glyma.01G009700::Gm01:956746-958746,1500
12,Glyma.01G009700::Gm01:956746-958746,1600
13,Glyma.01G009700::Gm01:956746-958746,1700
14,Glyma.01G010300::Gm01:1004935-1006935,1600
15,Glyma.01G010300::Gm01:1004935-1006935,1700
16,Glyma.01G010500::Gm01:1022207-1024207,1000
17,Glyma.01G015000::Gm01:1486684-1488684,1400
18,Glyma.01G015400::Gm01:1511840-1513840,1500
19,Glyma.01G015400::Gm01:1511840-1513840,1600
20,Glyma.01G015400::Gm01:1511840-1513840,1700
21,Glyma.01G017700::Gm01:1690319-1692319,0
22,Glyma.01G017700::Gm01:1690319-1692319,100
23,Glyma.01G017700::Gm01:1690319-1692319,200
24,Glyma.01G018400::Gm01:1774134-1776134,1700
25,Glyma.01G019100::Gm01:1828201-1830201,1000
26,Glyma.01G019100::Gm01:1828201-1830201,1100
27,Glyma.01G019300::Gm01:1867682-1869682,1000
28,Glyma.01G019300::Gm01:1867682-1869682,1100
29,Glyma.01G019300::Gm01:1867682-1869682,1200
30,Glyma.01G019400::Gm01:1888662-1890662,1100
31,Glyma.01G019700::Gm01:1942968-1944968,500
32,Glyma.01G019700::Gm01:1942968-1944968,1700
33,Glyma.01G020900::Gm01:2110576-2112576,1600
34,Glyma.01G020900::Gm01:2110576-2112576,1700
35,Glyma.01G022700::Gm01:2295539-2297539,1700
36,Glyma.01G024700::Gm01:2537079-2539079,900
37,Glyma.01G024700::Gm01:2537079-2539079,1000
38,Glyma.01G024700::Gm01:2537079-2539079,1100
39,Glyma.01G024700::Gm01:2537079-2539079,1200
40,Glyma.01G024700::Gm01:2537079-2539079,1300
41,Glyma.01G024700::Gm01:2537079-2539079,1400
42,Glyma.01G024700::Gm01:2537079-2539079,1500
43,Glyma.01G024700::Gm01:2537079-2539079,1600
44,Glyma.01G024700::Gm01:2537079-2539079,1700
45,Glyma.01G025300::Gm01:2647417-2649417,1400
46,Glyma.01G026700::Gm01:2799414-2801414,1600
47,Glyma.01G031500::Gm01:3280201-3282201,1400
48,Glyma.01G033700::Gm01:3525526-3527526,700
49,Glyma.01G033700::Gm01:3525526-3527526,800
50,Glyma.01G037200::Gm01:3936497-3938497,1000
51,Glyma.01G037200::Gm01:3936497-3938497,1100
